,Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date,Exclusivity_Code,Exclusivity_Date,Patent_Duration,Exclusivity_Duration
69,CLOBETASOL PROPIONATE,"AEROSOL, FOAM;TOPICAL",OLUX E,NORVIUM BIOSCIENCE,0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,N,22013,1,,2007-01-12,Yes,No,DISCN,NORVIUM BIOSCIENCE LLC,8460641,2028-11-05,,Y,U-1410,,"Jul 2, 2013",,,21.815195071868583,
71,CALCIPOTRIENE,"AEROSOL, FOAM;TOPICAL",SORILUX,MAYNE PHARMA,0.005%,N,22563,1,,2010-10-06,Yes,Yes,RX,MAYNE PHARMA LLC,8629128,2026-05-26,,Y,U-1280,,"Apr 17, 2014",,,15.63586584531143,
72,CALCIPOTRIENE,"AEROSOL, FOAM;TOPICAL",SORILUX,MAYNE PHARMA,0.005%,N,22563,1,,2010-10-06,Yes,Yes,RX,MAYNE PHARMA LLC,8263580,2028-05-07,,Y,U-1280,,"Sep 21, 2012",,,17.585215605749486,
77,DESONIDE,"AEROSOL, FOAM;TOPICAL",VERDESO,ALMIRALL,0.05%,N,21978,1,,2006-09-19,Yes,No,DISCN,ALMIRALL LLC,8460641,2027-08-13,,Y,U-1412,,"Jul 5, 2013",,,20.89801505817933,
80,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,10213512,2030-10-01,,Y,U-1631,,"Jun 22, 2020",,,10.343600273785079,
81,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,8992896,2030-10-01,,Y,U-1631,,"Jun 22, 2020",,,10.343600273785079,
82,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,9675700,2030-10-01,,Y,U-1631,,"Jun 22, 2020",,,10.343600273785079,
83,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,8865139,2030-10-01,,Y,U-1631,,"Jun 22, 2020",,,10.343600273785079,
84,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,10322186,2030-10-01,,,U-1631,,"Jun 22, 2020",,,10.343600273785079,
85,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,10946101,2030-10-01,,,U-1631,,"Mar 22, 2021",,,10.343600273785079,
86,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,12138311,2030-10-01,,,U-1631,,"Dec 11, 2024",,,10.343600273785079,
87,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,10265404,2030-10-01,,Y,,,"Jun 22, 2020",,,10.343600273785079,
88,MINOCYCLINE HYDROCHLORIDE,"AEROSOL, FOAM;TOPICAL",ZILXI,JOURNEY,EQ 1.5% BASE,N,213690,1,,2020-05-28,Yes,Yes,RX,JOURNEY MEDICAL CORP,8945516,2030-10-01,,Y,,,"Jun 22, 2020",,,10.343600273785079,
94,ALBUTEROL SULFATE; BUDESONIDE,"AEROSOL, METERED;INHALATION",AIRSUPRA,ASTRAZENECA,EQ 0.09MG BASE/INH;0.08MG/INH,N,214070,1,,2023-01-10,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,9415009,2030-05-28,,,U-3509,,"Jan 24, 2023",NP,2026-01-10,7.378507871321013,3.0006844626967832
105,CICLESONIDE,"AEROSOL, METERED;INHALATION",ALVESCO,COVIS,0.08MG/INH,N,21658,2,,2008-01-10,Yes,Yes,RX,COVIS PHARMA GMBH,8371292,2028-02-01,,,U-1355,,,,,20.060232717316907,
106,CICLESONIDE,"AEROSOL, METERED;INHALATION",ALVESCO,COVIS,0.16MG/INH,N,21658,3,,2008-01-10,Yes,Yes,RX,COVIS PHARMA GMBH,8371292,2028-02-01,,,U-1355,,,,,20.060232717316907,
115,FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BEVESPI AEROSPHERE,ASTRAZENECA,0.0048MG/INH;0.0090MG/INH,N,208294,1,,2016-04-25,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,8324266,2030-05-28,,,U-2889,,"May 20, 2016",,,14.088980150581794,
116,FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BEVESPI AEROSPHERE,ASTRAZENECA,0.0048MG/INH;0.0090MG/INH,N,208294,1,,2016-04-25,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,10716753,2030-05-28,,Y,U-2889,,"Aug 19, 2020",,,14.088980150581794,
117,FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BEVESPI AEROSPHERE,ASTRAZENECA,0.0048MG/INH;0.0090MG/INH,N,208294,1,,2016-04-25,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,9415009,2030-05-28,,,U-2889,,"Sep 8, 2016",,,14.088980150581794,
118,FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BEVESPI AEROSPHERE,ASTRAZENECA,0.0048MG/INH;0.0090MG/INH,N,208294,1,,2016-04-25,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,8703806,2030-05-28,,,U-2889,,"May 20, 2016",,,14.088980150581794,
119,FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BEVESPI AEROSPHERE,ASTRAZENECA,0.0048MG/INH;0.0090MG/INH,N,208294,1,,2016-04-25,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,8808713,2030-05-28,,Y,U-2889,,"May 20, 2016",,,14.088980150581794,
120,FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BEVESPI AEROSPHERE,ASTRAZENECA,0.0048MG/INH;0.0090MG/INH,N,208294,1,,2016-04-25,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,9463161,2030-05-28,,Y,U-2889,,"Oct 25, 2016",,,14.088980150581794,
126,BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BREZTRI AEROSPHERE,ASTRAZENECA AB,0.16MG/INH;0.0048MG/INH;0.009MG/INH,N,212122,1,,2020-07-23,Yes,Yes,RX,ASTRAZENECA AB,8703806,2030-05-28,,,U-2889,,"Aug 18, 2020",,,9.845311430527037,
127,BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BREZTRI AEROSPHERE,ASTRAZENECA AB,0.16MG/INH;0.0048MG/INH;0.009MG/INH,N,212122,1,,2020-07-23,Yes,Yes,RX,ASTRAZENECA AB,8808713,2030-05-28,,Y,U-2889,,"Aug 18, 2020",,,9.845311430527037,
128,BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BREZTRI AEROSPHERE,ASTRAZENECA AB,0.16MG/INH;0.0048MG/INH;0.009MG/INH,N,212122,1,,2020-07-23,Yes,Yes,RX,ASTRAZENECA AB,8324266,2030-05-28,,,U-2889,,"Aug 18, 2020",,,9.845311430527037,
129,BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BREZTRI AEROSPHERE,ASTRAZENECA AB,0.16MG/INH;0.0048MG/INH;0.009MG/INH,N,212122,1,,2020-07-23,Yes,Yes,RX,ASTRAZENECA AB,9415009,2030-05-28,,,U-2889,,"Aug 18, 2020",,,9.845311430527037,
130,BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BREZTRI AEROSPHERE,ASTRAZENECA AB,0.16MG/INH;0.0048MG/INH;0.009MG/INH,N,212122,1,,2020-07-23,Yes,Yes,RX,ASTRAZENECA AB,10716753,2030-05-28,,Y,U-2889,,"Aug 18, 2020",,,9.845311430527037,
131,BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,"AEROSOL, METERED;INHALATION",BREZTRI AEROSPHERE,ASTRAZENECA AB,0.16MG/INH;0.0048MG/INH;0.009MG/INH,N,212122,1,,2020-07-23,Yes,Yes,RX,ASTRAZENECA AB,9463161,2030-05-28,,Y,U-2889,,"Aug 18, 2020",,,9.845311430527037,
151,FLUTICASONE PROPIONATE,"AEROSOL, METERED;INHALATION",FLOVENT HFA,GLAXO GRP LTD,0.11MG/INH,N,21433,2,,2004-05-14,Yes,Yes,RX,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,7500444*PED,2026-08-26,,,,,,,,22.28336755646817,
153,FLUTICASONE PROPIONATE,"AEROSOL, METERED;INHALATION",FLOVENT HFA,GLAXO GRP LTD,0.22MG/INH,N,21433,1,,2004-05-14,Yes,Yes,RX,GLAXO GROUP LTD DBA GLAXOSMITHKLINE,7500444*PED,2026-08-26,,,,,,,,22.28336755646817,
164,EPINEPHRINE,"AEROSOL, METERED;INHALATION",PRIMATENE MIST,ARMSTRONG PHARMS,0.125MG/INH,N,205920,1,,2018-11-07,Yes,Yes,OTC,ARMSTRONG PHARMACEUTICALS INC,8367734,2026-01-26,,Y,,,"Dec 17, 2018",,,7.219712525667351,
219,BUDESONIDE; FORMOTEROL FUMARATE,"AEROSOL, METERED;INHALATION",SYMBICORT AEROSPHERE,ASTRAZENECA,0.16MG/INH;0.0048MG/INH,N,216579,1,,2023-04-28,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,10716753,2030-05-28,,Y,U-3203,,"May 12, 2023",,,7.082819986310746,
220,BUDESONIDE; FORMOTEROL FUMARATE,"AEROSOL, METERED;INHALATION",SYMBICORT AEROSPHERE,ASTRAZENECA,0.16MG/INH;0.0048MG/INH,N,216579,1,,2023-04-28,Yes,Yes,RX,ASTRAZENECA PHARMACEUTICALS LP,9415009,2030-05-28,,,U-3203,,"May 12, 2023",,,7.082819986310746,
230,BECLOMETHASONE DIPROPIONATE,"AEROSOL, METERED;NASAL",QNASL,TEVA BRANDED PHARM,0.04MG/ACTUATION,N,202813,2,,2014-12-17,Yes,No,RX,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,7780038,2027-01-24,,Y,,,"Jan 8, 2015",,,12.10403832991102,
232,BECLOMETHASONE DIPROPIONATE,"AEROSOL, METERED;NASAL",QNASL,TEVA BRANDED PHARM,0.08MG/ACTUATION,N,202813,1,,2012-03-23,Yes,Yes,RX,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,7780038,2027-01-24,,Y,,,,,,14.839151266255989,
236,CICLESONIDE,"AEROSOL, METERED;NASAL",ZETONNA,COVIS,0.037MG/INH,N,202129,1,,2012-01-20,Yes,No,DISCN,COVIS PHARMA GMBH,8371292,2028-02-01,,,U-1357,,,,,16.032854209445585,
243,TECHNETIUM TC-99M LABELED CARBON,AEROSOL;INHALATION,TECHNEGAS KIT,CYCLOMEDICA,,N,22335,1,,2023-09-29,Yes,Yes,RX,CYCLOMEDICA AUSTRALIA PTY LTD,,,,,,,,NP,2026-09-29,,3.0006844626967832
567,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,8173158,2030-03-17,,,U-951,,"Jun 1, 2012",,,21.125256673511295,
571,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,7790755,2026-08-02,,Y,,,"Sep 29, 2010",,,17.503080082135522,
572,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,9238029,2026-01-17,,Y,,,"Feb 11, 2016",,,16.9637234770705,
573,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,8871273,2028-01-11,,Y,,,"Dec 1, 2014",,,18.94592744695414,
574,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,8105626,2026-09-27,,Y,,,"Feb 28, 2012",,,17.65639972621492,
575,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,8461187,2026-01-17,,Y,,,,,,16.9637234770705,
576,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,9011926,2026-02-24,,Y,,,"May 1, 2015",,,17.06776180698152,
577,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,7790755*PED,2027-02-02,,,,,,,,18.00684462696783,
578,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,8105626*PED,2027-03-27,,,,,,,,18.151950718685832,
579,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,8173158*PED,2030-09-17,,,,,,,,21.6290212183436,
580,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,30MG,N,22287,1,AB,2009-01-30,Yes,No,RX,TAKEDA PHARMACEUTICALS USA INC,8461187*PED,2026-07-17,,,,,,,,17.45927446954141,
581,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,8173158,2030-03-17,,,U-951,,,,,21.125256673511295,
585,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,9011926,2026-02-24,,Y,,,"May 1, 2015",,,17.06776180698152,
586,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,9238029,2026-01-17,,Y,,,"Feb 11, 2016",,,16.9637234770705,
587,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,8461187,2026-01-17,,Y,,,,,,16.9637234770705,
588,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,7790755,2026-08-02,,Y,,,,,,17.503080082135522,
589,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,8105626,2026-09-27,,Y,,,,,,17.65639972621492,
590,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,8871273,2028-01-11,,Y,,,"Dec 1, 2014",,,18.94592744695414,
591,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,7790755*PED,2027-02-02,,,,,,,,18.00684462696783,
592,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,8105626*PED,2027-03-27,,,,,,,,18.151950718685832,
593,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,8173158*PED,2030-09-17,,,,,,,,21.6290212183436,
594,DEXLANSOPRAZOLE,"CAPSULE, DELAYED RELEASE;ORAL",DEXILANT,TAKEDA PHARMS USA,60MG,N,22287,2,AB,2009-01-30,Yes,Yes,RX,TAKEDA PHARMACEUTICALS USA INC,8461187*PED,2026-07-17,,,,,,,,17.45927446954141,
681,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,11338011,2036-02-03,,,U-2857,,"Jun 22, 2022",ODE-474,2027-06-26,15.605749486652977,6.997946611909651
682,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,12251418,2036-02-03,,,U-2857,,"Apr 3, 2025",ODE-474,2027-06-26,15.605749486652977,6.997946611909651
683,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,12246054,2036-02-03,,,U-2857,,"Apr 3, 2025",ODE-474,2027-06-26,15.605749486652977,6.997946611909651
684,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,11141457,2040-12-28,,,U-3232,,"Nov 4, 2021",ODE-474,2027-06-26,20.50650239561944,6.997946611909651
685,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,10695397,2036-02-03,,,U-2857,,"Jul 23, 2020",ODE-474,2027-06-26,15.605749486652977,6.997946611909651
686,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,8535695,2029-09-17,,,U-2857,,"Jul 23, 2020",ODE-474,2027-06-26,9.22655715263518,6.997946611909651
687,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,10238709,2036-02-03,,,U-2857,,"Jul 23, 2020",ODE-474,2027-06-26,15.605749486652977,6.997946611909651
688,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,11510963,2036-02-03,,,U-2857,,"Dec 19, 2022",ODE-474,2027-06-26,15.605749486652977,6.997946611909651
689,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,11052126,2036-02-03,,,U-2857,,"Jul 22, 2021",ODE-474,2027-06-26,15.605749486652977,6.997946611909651
690,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,11857595,2036-02-03,,,U-3784,,"Jan 31, 2024",ODE-474,2027-06-26,15.605749486652977,6.997946611909651
691,OCTREOTIDE ACETATE,"CAPSULE, DELAYED RELEASE;ORAL",MYCAPSSA,CHIESI,EQ 20MG BASE,N,208232,1,,2020-06-26,Yes,Yes,RX,CHIESI FARMACEUTICI SPA,11890316,2040-12-28,,,U-3232,,"Mar 5, 2024",ODE-474,2027-06-26,20.50650239561944,6.997946611909651
